,Comments_youtube,Comments_CaseFolding,CharEmoNum_Remove,RemoveDoubleWord,tokenizing,Comments_stopwordfix,Stemming2
14,Mereka yg berperang dimedan laga adalah jihad yg sesungguhnya...beliau2 ini tidak memperdulikan nyawanya demi keutuhan negeri ini... bravo TNI dan polri semoga kalian selalu ada dalam lindungan Allah SWT...Aamiin,mereka yg berperang dimedan laga adalah jihad yg sesungguhnya...beliau2 ini tidak memperdulikan nyawanya demi keutuhan negeri ini... bravo tni dan polri semoga kalian selalu ada dalam lindungan allah swt...aamiin,mereka yg berperang dimedan laga adalah jihad yg sesungguhnyabeliau ini tidak memperdulikan nyawanya demi keutuhan negeri ini bravo tni dan polri semoga kalian selalu ada dalam lindungan allah swtaamiin,mereka yg berperang dimedan laga adalah jihad sesungguhnyabeliau ini tidak memperdulikan nyawanya demi keutuhan negeri bravo tni dan polri semoga kalian selalu ada dalam lindungan allah swtaamiin,"['mereka', 'yg', 'berperang', 'dimedan', 'laga', 'adalah', 'jihad', 'sesungguhnyabeliau', 'ini', 'tidak', 'memperdulikan', 'nyawanya', 'demi', 'keutuhan', 'negeri', 'bravo', 'tni', 'dan', 'polri', 'semoga', 'kalian', 'selalu', 'ada', 'dalam', 'lindungan', 'allah', 'swtaamiin']","['yg', 'berperang', 'dimedan', 'laga', 'jihad', 'sesungguhnyabeliau', 'memperdulikan', 'nyawanya', 'keutuhan', 'negeri', 'bravo', 'tni', 'polri', 'semoga', 'lindungan', 'allah', 'swtaamiin']","['yg', 'perang', 'medan', 'laga', 'jihad', 'sesungguhnyabeliau', 'duli', 'nyawa', 'utuh', 'negeri', 'bravo', 'tni', 'polri', 'moga', 'lindung', 'allah', 'swtaamiin']"
15,"Tidak ada ruang untuk para pengacau kedaulatan di NKRI, bravo TNI & POLRI seluruh rakyat Indonesia mendukung tiap langkahmu","tidak ada ruang untuk para pengacau kedaulatan di nkri, bravo tni & polri seluruh rakyat indonesia mendukung tiap langkahmu",tidak ada ruang untuk para pengacau kedaulatan di nkri bravo tni  polri seluruh rakyat indonesia mendukung tiap langkahmu,tidak ada ruang untuk para pengacau kedaulatan di nkri bravo tni polri seluruh rakyat indonesia mendukung tiap langkahmu,"['tidak', 'ada', 'ruang', 'untuk', 'para', 'pengacau', 'kedaulatan', 'di', 'nkri', 'bravo', 'tni', 'polri', 'seluruh', 'rakyat', 'indonesia', 'mendukung', 'tiap', 'langkahmu']","['ruang', 'pengacau', 'kedaulatan', 'nkri', 'bravo', 'tni', 'polri', 'rakyat', 'indonesia', 'mendukung', 'langkahmu']","['ruang', 'acau', 'daulat', 'nkri', 'bravo', 'tni', 'polri', 'rakyat', 'indonesia', 'dukung', 'langkah']"
16,"Apapula yang mau mereka jadikan bahan di pengadilan?  

Lawaknya the next level","apapula yang mau mereka jadikan bahan di pengadilan?  

lawaknya the next level","apapula yang mau mereka jadikan bahan di pengadilan  

lawaknya the next level",apapula yang mau mereka jadikan bahan di pengadilan lawaknya the next level,"['apapula', 'yang', 'mau', 'mereka', 'jadikan', 'bahan', 'di', 'pengadilan', 'lawaknya', 'the', 'next', 'level']","['apapula', 'jadikan', 'bahan', 'pengadilan', 'lawaknya', 'the', 'next', 'level']","['apapula', 'jadi', 'bahan', 'adil', 'lawak', 'the', 'next', 'level']"
17,"Mereka sampai mengajukan uji materil ke pengadilan Internasional berarti kemampuan intelektual mereka cukup tinggi, berbanding terbalik dg tingkat pendidikan di Papua sprt yg diinfokan media.","mereka sampai mengajukan uji materil ke pengadilan internasional berarti kemampuan intelektual mereka cukup tinggi, berbanding terbalik dg tingkat pendidikan di papua sprt yg diinfokan media.",mereka sampai mengajukan uji materil ke pengadilan internasional berarti kemampuan intelektual mereka cukup tinggi berbanding terbalik dg tingkat pendidikan di papua sprt yg diinfokan media,mereka sampai mengajukan uji materil ke pengadilan internasional berarti kemampuan intelektual cukup tinggi berbanding terbalik dg tingkat pendidikan di papua sprt yg diinfokan media,"['mereka', 'sampai', 'mengajukan', 'uji', 'materil', 'ke', 'pengadilan', 'internasional', 'berarti', 'kemampuan', 'intelektual', 'cukup', 'tinggi', 'berbanding', 'terbalik', 'dg', 'tingkat', 'pendidikan', 'di', 'papua', 'sprt', 'yg', 'diinfokan', 'media']","['mengajukan', 'uji', 'materil', 'pengadilan', 'internasional', 'kemampuan', 'intelektual', 'berbanding', 'terbalik', 'dg', 'tingkat', 'pendidikan', 'papua', 'sprt', 'yg', 'diinfokan', 'media']","['aju', 'uji', 'materil', 'adil', 'internasional', 'mampu', 'intelektual', 'banding', 'balik', 'dg', 'tingkat', 'didik', 'papua', 'sprt', 'yg', 'info', 'media']"
18,Semoga Allah Melindungi TNI dan Polri yg bertugas  menumpas KKB,semoga allah melindungi tni dan polri yg bertugas  menumpas kkb,semoga allah melindungi tni dan polri yg bertugas  menumpas kkb,semoga allah melindungi tni dan polri yg bertugas menumpas kkb,"['semoga', 'allah', 'melindungi', 'tni', 'dan', 'polri', 'yg', 'bertugas', 'menumpas', 'kkb']","['semoga', 'allah', 'melindungi', 'tni', 'polri', 'yg', 'bertugas', 'menumpas', 'kkb']","['moga', 'allah', 'lindung', 'tni', 'polri', 'yg', 'tugas', 'tumpas', 'kkb']"
19,Semoga TENTARA NASIONAL INDONESIA selalu berada di bawah lindungan Allah Swt ,semoga tentara nasional indonesia selalu berada di bawah lindungan allah swt ,semoga tentara nasional indonesia selalu berada di bawah lindungan allah swt ,semoga tentara nasional indonesia selalu berada di bawah lindungan allah swt,"['semoga', 'tentara', 'nasional', 'indonesia', 'selalu', 'berada', 'di', 'bawah', 'lindungan', 'allah', 'swt']","['semoga', 'tentara', 'nasional', 'indonesia', 'lindungan', 'allah', 'swt']","['moga', 'tentara', 'nasional', 'indonesia', 'lindung', 'allah', 'swt']"
20,"Makin terkuak, banyak aktor intelektual dan pihak yang memiliki kepentingan dibalik semua yang terjadi.","makin terkuak, banyak aktor intelektual dan pihak yang memiliki kepentingan dibalik semua yang terjadi.",makin terkuak banyak aktor intelektual dan pihak yang memiliki kepentingan dibalik semua yang terjadi,makin terkuak banyak aktor intelektual dan pihak yang memiliki kepentingan dibalik semua terjadi,"['makin', 'terkuak', 'banyak', 'aktor', 'intelektual', 'dan', 'pihak', 'yang', 'memiliki', 'kepentingan', 'dibalik', 'semua', 'terjadi']","['terkuak', 'aktor', 'intelektual', 'memiliki', 'kepentingan', 'dibalik']","['kuak', 'aktor', 'intelektual', 'milik', 'penting', 'balik']"
21,I love TNI..ï¸ï¸ï¸,i love tni..ï¸ï¸ï¸,i love tni,i love tni,"['i', 'love', 'tni']","['i', 'love', 'tni']","['i', 'love', 'tni']"
22,"Bukti bahwa OPM dikendalikan oleh pihak luar semakin jelas. Pemerintah yang merespon dengan upaya persuasif, peningkatan kesejahteraan dan sabar ternyata tidak membuat OPM sadar. Tentu rakyat lebih memilih menjadi bagian Indonesia karena banyak enaknya. ","bukti bahwa opm dikendalikan oleh pihak luar semakin jelas. pemerintah yang merespon dengan upaya persuasif, peningkatan kesejahteraan dan sabar ternyata tidak membuat opm sadar. tentu rakyat lebih memilih menjadi bagian indonesia karena banyak enaknya. ",bukti bahwa opm dikendalikan oleh pihak luar semakin jelas pemerintah yang merespon dengan upaya persuasif peningkatan kesejahteraan dan sabar ternyata tidak membuat opm sadar tentu rakyat lebih memilih menjadi bagian indonesia karena banyak enaknya ,bukti bahwa opm dikendalikan oleh pihak luar semakin jelas pemerintah yang merespon dengan upaya persuasif peningkatan kesejahteraan dan sabar ternyata tidak membuat sadar tentu rakyat lebih memilih menjadi bagian indonesia karena banyak enaknya,"['bukti', 'bahwa', 'opm', 'dikendalikan', 'oleh', 'pihak', 'luar', 'semakin', 'jelas', 'pemerintah', 'yang', 'merespon', 'dengan', 'upaya', 'persuasif', 'peningkatan', 'kesejahteraan', 'dan', 'sabar', 'ternyata', 'tidak', 'membuat', 'sadar', 'tentu', 'rakyat', 'lebih', 'memilih', 'menjadi', 'bagian', 'indonesia', 'karena', 'banyak', 'enaknya']","['bukti', 'opm', 'dikendalikan', 'pemerintah', 'merespon', 'upaya', 'persuasif', 'peningkatan', 'kesejahteraan', 'sabar', 'sadar', 'rakyat', 'memilih', 'indonesia', 'enaknya']","['bukti', 'opm', 'kendali', 'perintah', 'merespon', 'upaya', 'persuasif', 'tingkat', 'sejahtera', 'sabar', 'sadar', 'rakyat', 'pilih', 'indonesia', 'enak']"
23,Inilah fungsinya sekolah.biar otak gak kelewat pinter.,inilah fungsinya sekolah.biar otak gak kelewat pinter.,inilah fungsinya sekolahbiar otak gak kelewat pinter,inilah fungsinya sekolahbiar otak gak kelewat pinter,"['inilah', 'fungsinya', 'sekolahbiar', 'otak', 'gak', 'kelewat', 'pinter']","['fungsinya', 'sekolahbiar', 'otak', 'gak', 'kelewat', 'pinter']","['fungsi', 'sekolahbiar', 'otak', 'gak', 'lewat', 'pinter']"
24,"Doakan semoga Allah tidak murka di tanah papua.. 
Seperti tsunami di Aceh","doakan semoga allah tidak murka di tanah papua.. 
seperti tsunami di aceh","doakan semoga allah tidak murka di tanah papua 
seperti tsunami di aceh",doakan semoga allah tidak murka di tanah papua seperti tsunami aceh,"['doakan', 'semoga', 'allah', 'tidak', 'murka', 'di', 'tanah', 'papua', 'seperti', 'tsunami', 'aceh']","['doakan', 'semoga', 'allah', 'murka', 'tanah', 'papua', 'tsunami', 'aceh']","['doa', 'moga', 'allah', 'murka', 'tanah', 'papua', 'tsunami', 'aceh']"
25,"Buat netijen2 indo, klo pbb sama ausie koar2 soal HAM jgn lupa diserang ya guys ","buat netijen2 indo, klo pbb sama ausie koar2 soal ham jgn lupa diserang ya guys ",buat netijen indo klo pbb sama ausie koar soal ham jgn lupa diserang ya guys ,buat netijen indo klo pbb sama ausie koar soal ham jgn lupa diserang ya guys,"['buat', 'netijen', 'indo', 'klo', 'pbb', 'sama', 'ausie', 'koar', 'soal', 'ham', 'jgn', 'lupa', 'diserang', 'ya', 'guys']","['netijen', 'indo', 'klo', 'pbb', 'ausie', 'koar', 'ham', 'jgn', 'lupa', 'diserang', 'ya', 'guys']","['netijen', 'indo', 'klo', 'pbb', 'ausie', 'koar', 'ham', 'jgn', 'lupa', 'serang', 'ya', 'guys']"
26,"YA ALLAH LINDUNGI PARA TNI KAMI DI SITU, AAMIIN","ya allah lindungi para tni kami di situ, aamiin",ya allah lindungi para tni kami di situ aamiin,ya allah lindungi para tni kami di situ aamiin,"['ya', 'allah', 'lindungi', 'para', 'tni', 'kami', 'di', 'situ', 'aamiin']","['ya', 'allah', 'lindungi', 'tni', 'situ', 'aamiin']","['ya', 'allah', 'lindung', 'tni', 'situ', 'aamiin']"
27,Sapu Bersih tanpa sisa!!!! BRAVO TNI/POLRI!!!,sapu bersih tanpa sisa!!!! bravo tni/polri!!!,sapu bersih tanpa sisa bravo tnipolri,sapu bersih tanpa sisa bravo tnipolri,"['sapu', 'bersih', 'tanpa', 'sisa', 'bravo', 'tnipolri']","['sapu', 'bersih', 'sisa', 'bravo', 'tnipolri']","['sapu', 'bersih', 'sisa', 'bravo', 'tnipolri']"
28,"Selamat berjuang TNI Polri pertahankan NKRI kita , smoga selalu dlm lindungan Tuhan , semangat dqn berjaryalah ,ï¸ï¸","selamat berjuang tni polri pertahankan nkri kita , smoga selalu dlm lindungan tuhan , semangat dqn berjaryalah ,ï¸ï¸",selamat berjuang tni polri pertahankan nkri kita  smoga selalu dlm lindungan tuhan  semangat dqn berjaryalah ,selamat berjuang tni polri pertahankan nkri kita smoga selalu dlm lindungan tuhan semangat dqn berjaryalah,"['selamat', 'berjuang', 'tni', 'polri', 'pertahankan', 'nkri', 'kita', 'smoga', 'selalu', 'dlm', 'lindungan', 'tuhan', 'semangat', 'dqn', 'berjaryalah']","['selamat', 'berjuang', 'tni', 'polri', 'pertahankan', 'nkri', 'smoga', 'dlm', 'lindungan', 'tuhan', 'semangat', 'dqn', 'berjaryalah']","['selamat', 'juang', 'tni', 'polri', 'tahan', 'nkri', 'smoga', 'dlm', 'lindung', 'tuhan', 'semangat', 'dqn', 'berjaryalah']"
29,mending kedua piha ini (TNI & KKB) di fasilitasi diterjunkan di miramar gitu battle royale,mending kedua piha ini (tni & kkb) di fasilitasi diterjunkan di miramar gitu battle royale,mending kedua piha ini tni  kkb di fasilitasi diterjunkan di miramar gitu battle royale,mending kedua piha ini tni kkb di fasilitasi diterjunkan miramar gitu battle royale,"['mending', 'kedua', 'piha', 'ini', 'tni', 'kkb', 'di', 'fasilitasi', 'diterjunkan', 'miramar', 'gitu', 'battle', 'royale']","['mending', 'piha', 'tni', 'kkb', 'fasilitasi', 'diterjunkan', 'miramar', 'gitu', 'battle', 'royale']","['mending', 'piha', 'tni', 'kkb', 'fasilitas', 'terjun', 'miramar', 'gitu', 'battle', 'royale']"
30,Siapa di sini yg siap membatu mengamankan negara ini  ï¸ï¸,siapa di sini yg siap membatu mengamankan negara ini  ï¸ï¸,siapa di sini yg siap membatu mengamankan negara ini  ,siapa di sini yg siap membatu mengamankan negara ini,"['siapa', 'di', 'sini', 'yg', 'siap', 'membatu', 'mengamankan', 'negara', 'ini']","['yg', 'membatu', 'mengamankan', 'negara']","['yg', 'batu', 'aman', 'negara']"
31,TNI Polri semangat  NKRI harga mati ,tni polri semangat  nkri harga mati ,tni polri semangat  nkri harga mati ,tni polri semangat nkri harga mati,"['tni', 'polri', 'semangat', 'nkri', 'harga', 'mati']","['tni', 'polri', 'semangat', 'nkri', 'harga', 'mati']","['tni', 'polri', 'semangat', 'nkri', 'harga', 'mati']"
32,"Ayo Pasukan Setan, babat habis OPM. Kami mendukungmu!","ayo pasukan setan, babat habis opm. kami mendukungmu!",ayo pasukan setan babat habis opm kami mendukungmu,ayo pasukan setan babat habis opm kami mendukungmu,"['ayo', 'pasukan', 'setan', 'babat', 'habis', 'opm', 'kami', 'mendukungmu']","['ayo', 'pasukan', 'setan', 'babat', 'habis', 'opm', 'mendukungmu']","['ayo', 'pasu', 'setan', 'babat', 'habis', 'opm', 'dukung']"
33,"Mau di bawa ke internasional, pasti cucunguk Amrik nih bakingannya","mau di bawa ke internasional, pasti cucunguk amrik nih bakingannya",mau di bawa ke internasional pasti cucunguk amrik nih bakingannya,mau di bawa ke internasional pasti cucunguk amrik nih bakingannya,"['mau', 'di', 'bawa', 'ke', 'internasional', 'pasti', 'cucunguk', 'amrik', 'nih', 'bakingannya']","['bawa', 'internasional', 'cucunguk', 'amrik', 'nih', 'bakingannya']","['bawa', 'internasional', 'cucunguk', 'amrik', 'nih', 'bakingannya']"
34,"Allahu akbar...Pemerintah wajib memberantas perusuh di negeri ini.
bravo polri dan Tni","allahu akbar...pemerintah wajib memberantas perusuh di negeri ini.
bravo polri dan tni","allahu akbarpemerintah wajib memberantas perusuh di negeri ini
bravo polri dan tni",allahu akbarpemerintah wajib memberantas perusuh di negeri ini bravo polri dan tni,"['allahu', 'akbarpemerintah', 'wajib', 'memberantas', 'perusuh', 'di', 'negeri', 'ini', 'bravo', 'polri', 'dan', 'tni']","['allahu', 'akbarpemerintah', 'wajib', 'memberantas', 'perusuh', 'negeri', 'bravo', 'polri', 'tni']","['allahu', 'akbarpemerintah', 'wajib', 'berantas', 'rusuh', 'negeri', 'bravo', 'polri', 'tni']"
35,"hanya bantu doa.. semoga TNI Polri selalu dalam lindunganNYA.. berangkat 400 pulang 400 dengan selamat.
yg memang dr dulu sdh bertugas di papua semua juga diberi keselamatan lahir batin. aamiin.","hanya bantu doa.. semoga tni polri selalu dalam lindungannya.. berangkat 400 pulang 400 dengan selamat.
yg memang dr dulu sdh bertugas di papua semua juga diberi keselamatan lahir batin. aamiin.","hanya bantu doa semoga tni polri selalu dalam lindungannya berangkat  pulang  dengan selamat
yg memang dr dulu sdh bertugas di papua semua juga diberi keselamatan lahir batin aamiin",hanya bantu doa semoga tni polri selalu dalam lindungannya berangkat pulang dengan selamat yg memang dr dulu sdh bertugas di papua semua juga diberi keselamatan lahir batin aamiin,"['hanya', 'bantu', 'doa', 'semoga', 'tni', 'polri', 'selalu', 'dalam', 'lindungannya', 'berangkat', 'pulang', 'dengan', 'selamat', 'yg', 'memang', 'dr', 'dulu', 'sdh', 'bertugas', 'di', 'papua', 'semua', 'juga', 'diberi', 'keselamatan', 'lahir', 'batin', 'aamiin']","['bantu', 'doa', 'semoga', 'tni', 'polri', 'lindungannya', 'berangkat', 'pulang', 'selamat', 'yg', 'dr', 'sdh', 'bertugas', 'papua', 'keselamatan', 'lahir', 'batin', 'aamiin']","['bantu', 'doa', 'moga', 'tni', 'polri', 'lindung', 'berangkat', 'pulang', 'selamat', 'yg', 'dr', 'sdh', 'tugas', 'papua', 'selamat', 'lahir', 'batin', 'aamiin']"
36,kelakuan menjelaskan profesi. Mantab...,kelakuan menjelaskan profesi. mantab...,kelakuan menjelaskan profesi mantab,kelakuan menjelaskan profesi mantab,"['kelakuan', 'menjelaskan', 'profesi', 'mantab']","['kelakuan', 'profesi', 'mantab']","['laku', 'profesi', 'mantab']"
37,"Gini aja , dirudal aja tempat mereka kan enak :)","gini aja , dirudal aja tempat mereka kan enak :)",gini aja  dirudal aja tempat mereka kan enak ,gini aja dirudal tempat mereka kan enak,"['gini', 'aja', 'dirudal', 'tempat', 'mereka', 'kan', 'enak']","['gini', 'aja', 'dirudal', 'enak']","['gin', 'aja', 'rudal', 'enak']"
38,"Gk perlu ke mahkamah internasional. Tni - polri lebih tau apa yg hrus mreka lakukan. Bravo TNI,. Bravo polri","gk perlu ke mahkamah internasional. tni - polri lebih tau apa yg hrus mreka lakukan. bravo tni,. bravo polri",gk perlu ke mahkamah internasional tni  polri lebih tau apa yg hrus mreka lakukan bravo tni bravo polri,gk perlu ke mahkamah internasional tni polri lebih tau apa yg hrus mreka lakukan bravo,"['gk', 'perlu', 'ke', 'mahkamah', 'internasional', 'tni', 'polri', 'lebih', 'tau', 'apa', 'yg', 'hrus', 'mreka', 'lakukan', 'bravo']","['gk', 'mahkamah', 'internasional', 'tni', 'polri', 'tau', 'yg', 'hrus', 'mreka', 'lakukan', 'bravo']","['gk', 'mahkamah', 'internasional', 'tni', 'polri', 'tau', 'yg', 'hrus', 'mreka', 'laku', 'bravo']"
